date,year,v1_tf,v2_labmax,v3_prop75,ni_pretax,v4_pretax,ni_exh,v5_exhouse,cap_exhouse,v6_exh_labmax,govnp,ni_bus,v7_business,v7_labmax,corp_nva,corp_ni_tf,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,housing_gross
1969-09-01,1969,75.55628272251309,85.48342738403244,83.0016412186526,821460,72.23881868867626,764946,77.57580273640231,12.231713088244138,87.76828691175587,147124,638268,69.9218823440937,82.13728402489237,540058,450538,84.88939889643049,70.81813434853294,78.5972634944904,57.699237402754996,7.1830768168687325
1969-12-01,1969,76.33669188949071,86.09333117954982,83.65417135703505,828000,73.05495169082126,771967,78.3576240953305,11.627440033058408,88.3725599669416,150285,642119,70.79840341120571,82.83853927387291,544618,454702,85.8082876257417,71.6414073717725,79.57854202954121,58.18877406234879,7.252637948167409
1970-03-01,1970,76.81478409465657,86.4422087201575,84.03535256378227,831612,73.94433942752148,780108,78.82626508124515,11.294205417711394,88.7057945822886,154688,645848,71.26165909006454,83.19496228214689,542886,456442,86.41514146375663,72.6552167490044,80.90675626335847,58.72903540665652,7.310161852725194
1970-06-01,1970,76.48971869947376,85.95026645174578,83.58512951367777,841997,73.65940733755583,790627,78.44533515804545,11.852238792755623,88.14776120724437,157625,653216,70.81654460392888,82.55998015970215,550103,462659,85.69594452934018,72.07377527481218,80.28917712098661,58.407998056237275,7.326591691167746
1970-09-01,1970,76.38776912366464,85.93157373121987,83.54562257933105,854489,73.51422897193527,801491,78.37530302897974,11.832572043853268,88.16742795614672,160567,661778,70.65874054441217,82.51815563527346,555853,466249,85.96651145632484,72.10863303787153,80.4220765540447,58.192107666853794,7.355314327851054
1970-12-01,1970,76.51658508738902,86.10484252972684,83.70777816914239,854006,73.76809998992981,802170,78.53497388334144,11.623845319570664,88.37615468042934,163410,659920,70.7016001939629,82.66411080130925,552450,463030,86.45336155324709,72.4599511267988,81.0816558842712,58.14551700522677,7.512591593052265
1971-03-01,1971,76.06894907954786,85.49901902193375,83.14150153633729,886085,73.11713887493863,830612,78.00031783793155,12.330185453617332,87.66981454638267,170077,681624,70.09773716887904,81.88077297747732,577203,482343,85.26608658154052,71.25309466513514,79.59231857441164,57.75119067038553,7.426770317164462
1971-06-01,1971,75.99390457410342,85.53637904979544,83.15076043087244,903508,73.02348180646989,846518,77.93963034454082,12.273572446185433,87.72642755381457,173188,695004,70.01182727005887,81.9321903183291,587604,490212,85.4059060161726,71.25036589267602,79.66654488438294,57.67276751451494,7.46288879137478
1971-09-01,1971,75.72120627250857,85.28060062761246,82.89075203883648,919493,72.87581308394952,862892,77.65606819856946,12.540271551943928,87.45972844805607,176155,708786,69.68718343759612,81.6223796745421,597716,499400,84.9669603524229,70.99107268334795,79.46875374565504,57.496025143914245,7.510225655132648
1971-12-01,1971,75.43039247016362,85.14555774374716,82.71676642535128,939329,72.62141379644406,881851,77.35479122890375,12.682187807237277,87.31781219276272,180088,724261,69.32114251630283,81.45199037363602,610678,510794,84.63783834579107,70.79426473526146,79.21319080791683,57.32217959975967,7.527005508241354
1972-03-01,1972,75.72083238462352,85.11770949917742,82.76849022053895,972621,72.8293960340153,912380,77.63804555119577,12.7271531598676,87.2728468401324,186103,749378,69.6912639549066,81.42179247322446,636981,534401,84.72757348882206,71.08296793781918,79.22178811318874,57.79499882509595,7.46537296676327
1972-06-01,1972,75.8010026040847,85.38281723773972,82.98736357932596,990578,72.93448875303106,932966,77.43829893050766,12.772919913480234,87.22708008651976,188902,764216,69.8193966103824,81.76968291687167,649613,545837,84.78300298440743,71.23887606929048,79.3381416328217,57.840734688845245,7.44744302374641
1972-09-01,1972,75.12068416280722,84.87496630645201,82.43639577054081,1018184,72.2604165848216,955541,76.99763798727632,13.004360880380853,86.99563911961914,191996,787420,69.05438012750501,81.18704122323538,663549,557017,84.58718495126719,71.00681336269062,79.08305848586319,57.40470117712781,7.389603793149455
1972-12-01,1972,74.54243941927383,84.91813521590572,82.32421126674775,1060970,71.51625399398664,994148,76.32324362167404,13.05318725179752,86.94681274820248,197444,820454,68.41602332367202,81.28865238026751,687702,574990,84.5145132958834,70.66287432637974,78.62479815940796,56.988972725483805,7.2471170008697445
1973-03-01,1973,75.01552032733086,84.96228321684333,82.47559249446522,1093030,71.85740556068909,1023523,76.73721059516983,13.087737158813237,86.91226284118676,200582,846432,69.09485936259499,81.39874201353446,717175,599547,84.58386081491525,70.71077491546694,78.55468792356439,57.29585211771057,7.183510599495192
1973-06-01,1973,75.11315221497799,85.39429338779603,82.8240080945915,1115392,72.01297839683268,1046013,76.78938980681885,12.700033364786098,87.2999666352139,204051,865305,69.244486048272,81.95006385031867,729006,609574,85.2770951516961,71.30627182766672,79.28905904424887,57.393403838912306,7.16721769246544
1973-09-01,1973,74.94959479421794,85.34471496735424,82.74593492407017,1138613,72.05433277153871,1072289,76.51108982746256,12.877218734874647,87.12278126512535,207301,887328,69.09722222222223,81.92089058386527,743473,624281,85.16981936019197,71.51557622132881,79.56409508204081,57.31759629666373,7.14566167234193
1973-12-01,1973,74.58430620228881,85.41303548405676,82.70585316361478,1175027,71.63324757643866,1105244,76.15603432364256,12.787040689657669,87.21295931034233,212459,916076,68.6898248616927,82.0299844117737,763259,640483,85.18696046577348,71.48399167255153,79.42181302085228,57.05603314457232,7.081588412414573
1974-03-01,1974,75.46358326212103,85.63858968001941,83.09483807554481,1182048,72.61600205744605,1113927,77.05675506563716,12.553425852861094,87.4465741471389,216092,921352,69.70886262796412,82.27029408955535,771696,650224,85.83980289869338,72.32783375837117,80.32937647878323,57.563511554200595,7.164824906481324
1974-06-01,1974,76.24031061571199,85.66821604246147,83.3112396857741,1198956,73.27299750783182,1129372,77.78756689558445,12.593193385350443,87.40680661464955,220151,932141,70.628799720214,82.28336700134422,788954,664358,86.10207147351278,72.50435386600486,80.45123779573628,57.78290081658023,7.164069154446465
1974-09-01,1974,76.7880021358955,86.25622898437487,83.88917227225502,1223854,73.55599605835337,1149069,78.34325005722023,11.996755634343977,88.00324436565602,224360,947982,71.29439166566453,83.00347474952056,803711,673159,87.15548629669959,72.99825434764486,80.96018745058102,57.837677390173575,7.160626448804207
1974-12-01,1974,76.41378802879083,85.90267372167072,83.53045229845075,1242096,73.5740232639023,1172925,77.91291003261078,12.412046806061769,87.58795319393823,231327,964609,70.75747790037207,82.52193375761578,809792,682976,86.74038326383358,73.1565636607919,81.24903995962345,57.72401168806067,7.234482558235017
1975-03-01,1975,75.729925352151,85.02565633294606,82.7017235877473,1251073,73.41082414855089,1190099,77.17198317114794,13.355275485484821,86.64472451451518,237243,975518,69.827517278,81.3839416597131,810980,690544,85.40237841469913,72.71954918740289,80.91323937787436,57.375475097518375,7.345176307720756
1975-06-01,1975,75.34668758510928,84.59630183726821,82.28389827422848,1277331,72.90342127451694,1213506,76.73781588224533,13.841793942510378,86.15820605748962,243266,992645,69.3049378176488,80.82134096278125,831665,706661,84.3572802234735,71.67789915410653,79.68655800641909,56.851922286780415,7.322229758646521
