date,gdi,comp,wages,supp,topi,subsidies,nos,nos_priv,interest,bctp,prop,rental,cprof,ctax,cprof_at,gov_ent,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,c_comp,c_wages,c_supp,c_ucap,c_prop,c_cfc,c_topi,c_ctax,c_rent,lab_gross
1949-09-01,270863,143550,133925,9625,21253,529,NA,74335,2705,697,34238,7888,28807,9936,18871,NA,32255,20724,30161,207949,69.03134903269552,14.504037047545312,16.46461391975917,30.968650967304484,85.49596295245469,52.99727168347098,49.443814769828286,3.55345691364269,11.135149503623603,12.640338473693344,11.908234051900777,7.651100371774661,3.6682751058653267,2.9121733127079,52.99727168347098
1949-12-01,267232,142722,133144,9578,21172,481,NA,71436,2760,749,34171,8108,25648,9748,15900,NA,32382,20691,27517,204410,69.82143730737243,13.461670172692138,16.716892519935424,30.178562692627562,86.53832982730786,53.40752604478506,49.823374446174114,3.5841515986109447,10.297045264040234,12.78701652496707,12.11756077116513,7.742710453837864,3.6477667345228117,3.0340677763142136,53.40752604478506
1950-03-01,277506,146926,136792,10133,21554,690,NA,77311,2969,710,36246,8458,28928,13440,15488,NA,32405,20864,27625,210797,69.70023292551602,13.105025213831317,17.194741860652666,30.29976707448398,86.89497478616869,52.94516154605666,49.29334861228226,3.6514525812054512,9.954739717339445,13.061339214287258,11.677224996937003,7.518395998645074,4.843138526734557,3.047862028208399,52.94516154605666
1950-06-01,289932,153538,142964,10574,22462,809,NA,81971,2906,778,36813,8669,32805,16108,16697,NA,32769,21653,29050,219401,69.9805379191526,13.240595986344639,16.77886609450276,30.019462080847397,86.75940401365536,52.95655533021536,49.309493260488665,3.6470620697266947,10.01959080060152,12.697115185629734,11.302305368155292,7.468302912407047,5.555785494529752,2.990011450960915,52.95655533021536
1950-09-01,307524,162225,150947,11277,24380,772,NA,88120,2947,858,38456,8841,37017,19724,17293,NA,33572,23608,29939,230620,70.3429884658746,12.98196166854566,16.67504986557974,29.657011534125402,87.01803833145433,52.75198033324229,49.08462428948635,3.667030865883638,9.735500318674315,12.50504025702059,10.916871528726213,7.676799209167415,6.413808353169183,2.8748975689702267,52.75198033324229
1950-12-01,319297,170072,157996,12076,23404,1103,NA,92101,3054,949,38543,9148,40408,21640,18768,NA,34823,22301,31919,240534,70.70601245561959,13.270057455494857,16.023930088885564,29.29398754438042,86.72994254450515,53.264515482450506,49.482456772221475,3.7820587102290344,9.996648888025883,12.071206431629486,10.906146941562245,6.984406367739127,6.777389076627717,2.8650441438535283,53.264515482450506
1951-03-01,332534,178552,165319,13233,25094,1156,NA,93791,3259,1079,40901,9320,39232,26048,13184,NA,36253,23938,26842,246295,72.4951785460525,10.898312998639842,16.606508455307658,27.504821453947503,89.10168700136016,53.69435907305719,49.71491636945395,3.9794427036032407,8.071956551811244,12.29979490818984,10.902043099352246,7.198662392417016,7.833183975172464,2.8027209247776166,53.69435907305719
1951-06-01,340649,184887,170979,13907,24069,1128,NA,95486,3343,1151,42539,9576,38876,22004,16872,NA,37336,22941,30942,258368,71.55955845925192,11.975941293039385,16.464500247708695,28.44044154074808,88.02405870696062,54.27492815185132,50.1921332515287,4.082501343024639,9.083249914134491,12.487633898822542,10.960255277426324,6.7344979729868575,6.459434784778467,2.8111046854680333,54.27492815185132
1951-09-01,346823,187840,173480,14360,24481,872,NA,97106,3507,1187,43241,9858,39313,19888,19425,NA,38267,23609,33977,265058,70.86750824347878,12.818703830859661,16.313787925661554,29.132491756521215,87.18129616914034,54.16019122145878,50.01975070857469,4.140440512884093,9.796639784558694,12.467742912090605,11.033581971207216,6.807218667735415,5.734337111437246,2.842372045683245,54.16019122145878
1951-12-01,353871,191481,176591,14889,25336,1037,NA,99047,3611,1221,43698,10124,40394,21276,19118,NA,39045,24299,34074,269253,71.1156421655469,12.655012200421165,16.229345634031933,28.8843578344531,87.34498779957883,54.11039616131302,49.902648140141466,4.207465432318557,9.628932577125562,12.348567698398568,11.033681765389083,6.86662653904954,6.0123604364302246,2.8609295477730585,54.11039616131302
1952-03-01,356053,196095,181004,15091,26087,813,NA,95154,3723,1216,41693,10400,38122,19528,18594,NA,39530,25274,33933,271721,72.16777503395026,12.48817721118353,15.344047754866205,27.832224966049736,87.51182278881647,55.074665850308804,50.836251906317315,4.2384139439914845,9.53032273285157,11.709773544949769,11.102279716783737,7.098381420743541,5.484576734362581,2.92091345951305,55.074665850308804
1952-06-01,358604,197424,182118,15306,26918,791,NA,94877,3803,1203,42956,10665,36249,18372,17877,NA,40176,26127,33548,273928,72.07149323909933,12.247013813848895,15.68149294705178,27.928506760900675,87.7529861861511,55.05348518142575,50.78526731436347,4.268217867062275,9.35516614427056,11.978672853621264,11.203444467992549,7.285752529252323,5.123199964306031,2.974032637672753,55.05348518142575
1952-09-01,365999,201501,185950,15551,27334,798,NA,96958,3939,1188,44745,10931,36156,18308,17848,NA,41003,26536,33906,280152,71.92559753276792,12.102715668637025,15.971686798595048,28.074402467232073,87.89728433136297,55.05506845647119,50.80614974357854,4.248918712892658,9.263959737594911,12.225443238915954,11.203036073869054,7.250293033587523,5.002199459561365,2.9866201820223552,55.05506845647119
1952-12-01,378271,209324,193464,15860,28145,695,NA,99787,3995,1183,42762,11267,40580,20220,20360,NA,41709,27450,36805,288891,72.45777819315936,12.740099206967333,14.802122599873309,27.542221806840644,87.25990079303267,55.33704672047289,51.144285446148395,4.192761274324492,9.729796891646465,11.304593796510966,11.026221941412373,7.256702205561621,5.345374083659599,2.97855241348134,55.33704672047289
1953-03-01,385073,213130,197076,16054,28746,727,NA,101428,4235,1193,42948,11584,41468,21284,20184,NA,42496,28019,37196,293274,72.6726542414261,12.68301997449484,14.644325784079053,27.327345758573895,87.31698002550516,55.347947012644354,51.17886738358701,4.1690796290573475,9.659467165965934,11.153209910848073,11.03582956997764,7.276282678868682,5.527263661695315,3.0082607713342666,55.347947012644354
1953-06-01,388515,216216,200034,16182,29178,451,NA,100306,4261,1196,42347,11894,40609,21376,19233,NA,43266,28727,36584,295147,73.2570549590543,12.395179351306298,14.3477656896394,26.7429450409457,87.6048206486937,55.65190533184047,51.486815180881045,4.165090150959422,9.41636745042019,10.899707861987311,11.136249565653836,7.394051709715198,5.501975470702547,3.061400460728672,55.65190533184047
1953-09-01,387598,216530,200153,16377,29319,676,NA,98609,4504,1148,41218,12162,39578,20876,18702,NA,43817,28643,36516,294264,73.58358480819945,12.409265149661529,14.007150042139031,26.41641519180056,87.59073485033848,55.864581344588984,51.639327344310345,4.225254000278639,9.421101244072467,10.63421379883281,11.304753894498939,7.389873012760644,5.385992703780722,3.137787088684668,55.864581344588984
1953-12-01,380524,215136,198722,16414,29161,202,NA,92048,4615,1075,41557,12474,32329,16240,16089,NA,44381,28959,34253,290946,73.94361840341507,11.77297505379005,14.283406542794882,26.056381596584934,88.22702494620995,56.536775604166884,52.22325004467524,4.313525559491648,9.00153472579916,10.920993156804826,11.663127687084126,7.610295277039031,4.2677991401330795,3.2781112360849773,56.536775604166884
1954-03-01,382558,213169,196458,16711,28681,130,NA,95899,4797,956,42681,12797,34668,16096,18572,NA,44940,28551,37122,292972,72.76087817265814,12.670835438198873,14.56828638914299,27.23912182734186,87.32916456180112,55.722008166082006,51.35378164879574,4.368226517286268,9.703626639620659,11.156739631637556,11.747238327260181,7.463182053440263,4.207466580230972,3.345113682108334,55.722008166082006
1954-06-01,383600,212741,196014,16727,28812,692,NA,97048,5062,881,42099,13015,35991,16612,19379,NA,45691,28120,38337,293177,72.56401423031139,13.076400945503911,14.359584824184708,27.435985769688617,86.9235990544961,55.45907194994786,51.0985401459854,4.360531803962461,9.99400417101147,10.974713242961418,11.911105318039624,7.330552659019812,4.330552659019812,3.392857142857143,55.45907194994786
