year,gdi,comp,wages,supp,topi,subsidies,interest,bctp,prop,rental,cprof,ctax,cprof_at,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross
1993,6703129,3820610,3082660,737949,503126,36681,389907,39388,427984,90079,453787,155047,298740,1003498,466445,818114,5066708,75.40616116026422,16.146855117760882,8.446983721974899,24.59383883973578,83.85314488223912,56.997411209004035
1994,7147990,4010207,3240604,769603,545248,32523,389644,40714,456644,113667,556125,172671,383454,1055610,512725,927479,5394330,74.34115080093358,17.19359030685924,8.465258892207189,25.658849199066427,82.80640969314076,56.10258268408322
1995,7547593,4202178,3422112,780066,557903,34812,408671,44967,481186,124882,623730,194449,429281,1122381,523091,1007801,5691165,73.836868198339,17.708166957029007,8.454964844631986,26.163131801660995,82.29183304297099,55.67573662225825
1996,8016095,4421067,3620594,800473,580753,35234,415889,52645,543784,142528,701602,211386,490216,1175306,545519,1101278,6066129,72.88118996480293,18.154543037248303,8.964266997948775,27.118810035197075,81.8454569627517,55.15237780989372
1997,8567298,4713220,3881246,831974,611614,33810,455479,50061,583958,147059,782312,224762,557550,1239325,577804,1210149,6507327,72.42943223845981,18.596714134697702,8.97385362684248,27.570567761540183,81.4032858653023,55.01407795083117
1998,9119217,5075701,4186179,889522,639473,36368,511833,64078,640276,165206,732405,221805,510600,1309737,603105,1251717,6967694,72.84620995124068,17.96458053410497,9.189209514654346,27.153790048759316,82.03541946589503,55.65939488006481
1999,9660488,5409932,4465176,944757,673585,45209,518843,67684,696352,178497,745039,227386,517653,1398934,628376,1282677,7388961,73.21641026390584,17.359368928865642,9.424220807228513,26.783589736094154,82.64063107113437,56.00060783678837
2000,10346717,5854629,4832430,1022200,708556,45840,603736,85173,753559,183476,680747,233448,447299,1511225,662716,1319684,7927872,73.84868221888547,16.646131521800555,9.505186259313975,26.15131778111453,83.35386847819944,56.58441223433481
2001,10698659,6046343,4961629,1084714,727690,58710,627100,99226,831057,202403,618384,170148,448236,1599511,668980,1376965,8254365,73.25025001923225,16.681658734499866,10.068091246267883,26.749749980767753,83.31834126550014,56.514961361045344
2002,11010778,6143368,5004096,1139272,760030,41396,550295,80755,870133,208448,773589,160674,612915,1657984,718634,1452413,8465914,72.56591550540202,17.15600938067644,10.278075113921545,27.434084494597986,82.84399061932356,55.79413189513039
2003,11480643,6362296,5146959,1215337,805616,49057,518771,76048,897509,227098,918145,213763,704381,1719098,756559,1526298,8786103,72.4131733943934,17.371728967893958,10.215097637712647,27.586826605606603,82.62827103210604,55.417592899631146
2004,12245295,6729301,5430827,1298474,868098,46386,459037,81963,962895,242781,1125412,278512,846901,1821841,821712,1630682,9322878,72.18051121123756,17.491186734396823,10.328302054365615,27.819488788762442,82.50881326560318,54.95417627750087
2005,13096193,7077721,5702993,1374728,942438,60911,574129,90641,979140,221105,1304329,379749,924580,1971053,881527,1810455,9867316,71.72893824419934,18.347998584417486,9.92306317138318,28.271061755800666,81.65200141558252,54.04411037619864
2006,14025375,7491255,6068318,1422938,997039,51467,702095,79818,1050869,181120,1456385,430147,1026238,2124170,945572,1989271,10531395,71.13259924255048,18.888960104525562,9.978440652923949,28.867400757449513,81.11103989547443,53.41215475522045
2007,14461933,7889369,6407285,1482083,1036829,54584,813507,97247,995398,186259,1258028,391782,866246,2252751,982245,1963259,10848026,72.72630983738424,18.09784563569446,9.175844526921303,27.27369016261576,81.90215436430555,54.5526590394244
