id,name,group,sector,basis,unit,source,n,start_date,latest_date,latest_value,record_date,record_value,rank_low,record_high_date,record_high_value,rank_high,pctile_from_bottom,second_lowest_value,second_lowest_date,second_highest_value,second_highest_date,pre_pandemic_avg,full_avg,is_record_low,is_record_high,lowest_label,highest_label,context,context_high
l_nfcorp_net_extax,"Nonfinancial corporate business, net of production taxes",Labor share,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,71.89166184840369,2026-06-01,71.89166184840369,1,2001-12-01,85.33936764472344,318,0.3144654088050315,72.2855848250511,2021-06-01,85.33936764472344,2001-12-01,77.01906970378154,78.26432148365349,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 72.3 in 2021Q2, so this is 0.4 below that.","Not near the high end of its own history (0th percentile from the bottom); 13.4 below the record high set in 2001Q4, below the 2017-19 average."
l_nfcorp_net_std,"Nonfinancial corporate business, net",Labor share,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,64.72969913937423,2026-06-01,64.72969913937423,1,2001-12-01,76.90963308038098,318,0.3144654088050315,65.6239968154911,1950-12-01,76.90963308038098,2001-12-01,69.28061966682812,70.60854382261763,TRUE,FALSE,Yes  -  record low,No,"Record low of the quarterly series (1947Q1-2026Q2). Previous low was 65.6 in 1950Q4, so this is 0.9 below that.","Not near the high end of its own history (0th percentile from the bottom); 12.2 below the record high set in 2001Q4, below the 2017-19 average."
p_all_aftertax_gross,"Corporate profit margin, after tax, gross",Corporate profits,Corporate (all),Gross,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,17.449534191915376,1990-12-01,5.902374012932464,318,2026-06-01,17.449534191915376,1,100,5.902374012932464,1990-12-01,17.008601210070225,2021-06-01,13.086677880819858,10.456028655832192,FALSE,TRUE,No,Yes  -  record high,"Not near the low end of its own history (100th percentile from the bottom); 11.5 above the record low set in 1990Q4, at or above the 2017-19 average.","Record high of the quarterly series (1947Q1-2026Q2). Previous high was 17.0 in 2021Q2, so this is 0.4 above that."
p_all_aftertax_net,"Corporate profit margin, after tax, net",Corporate profits,Corporate (all),Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,20.62415298970511,1990-12-01,6.81157389974131,318,2026-06-01,20.62415298970511,1,100,6.81157389974131,1990-12-01,20.003488029692758,2021-06-01,15.450512880966011,11.94564020993859,FALSE,TRUE,No,Yes  -  record high,"Not near the low end of its own history (100th percentile from the bottom); 13.8 above the record low set in 1990Q4, at or above the 2017-19 average.","Record high of the quarterly series (1947Q1-2026Q2). Previous high was 20.0 in 2021Q2, so this is 0.6 above that."
p_all_pretax_gdi,Corporate profits (pretax) as a share of GDI,Corporate profits,Economy-wide,Gross,% of income base,BEA NIPA Table 1.10,318,1947-03-01,2026-06-01,13.166665539881945,2008-12-01,5.0844517447050865,318,2026-06-01,13.166665539881945,1,100,5.0844517447050865,2008-12-01,12.655302116837928,1950-12-01,8.937069071653568,8.891565874318855,FALSE,TRUE,No,Yes  -  record high,"Not near the low end of its own history (100th percentile from the bottom); 8.1 above the record low set in 2008Q4, at or above the 2017-19 average.","Record high of the quarterly series (1947Q1-2026Q2). Previous high was 12.7 in 1950Q4, so this is 0.5 above that."
p_all_pretax_gross,"Corporate profit margin, pretax, gross",Corporate profits,Corporate (all),Gross,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,22.183031734472202,2008-12-01,9.308219211144955,317,1950-12-01,22.856367122760773,2,99.68553459119497,9.308219211144955,2008-12-01,22.856367122760773,1950-12-01,15.619477630505582,15.568597006916917,FALSE,FALSE,No,No,"Not near the low end of its own history (100th percentile from the bottom); 12.9 above the record low set in 2008Q4, at or above the 2017-19 average.",2nd-highest of 318 quarters since 1947Q1; 0.7 below the record high set in 1950Q4.
p_all_pretax_net,"Corporate profit margin, pretax, net",Corporate profits,Corporate (all),Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,26.21882253333774,1982-12-01,10.89958013751094,318,2026-06-01,26.21882253333774,1,100,10.89958013751094,1982-12-01,24.8075341036062,1950-12-01,18.440848401416517,17.711294904599427,FALSE,TRUE,No,Yes  -  record high,"Not near the low end of its own history (100th percentile from the bottom); 15.3 above the record low set in 1982Q4, at or above the 2017-19 average.","Record high of the quarterly series (1947Q1-2026Q2). Previous high was 24.8 in 1950Q4, so this is 1.4 above that."
p_nf_aftertax_gross,"Nonfinancial corporate profit margin, after tax, gross",Corporate profits,Nonfinancial corporate,Gross,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,15.220749770277104,2001-12-01,4.480790903006281,316,2021-06-01,15.504513155948494,3,99.37106918238993,4.480790903006281,2001-12-01,15.504513155948494,2021-06-01,11.052682741458657,9.061272148422267,FALSE,FALSE,No,No,"Not near the low end of its own history (99th percentile from the bottom); 10.7 above the record low set in 2001Q4, at or above the 2017-19 average.",3rd-highest of 318 quarters since 1947Q1; 0.3 below the record high set in 2021Q2.
p_nf_nos_net,"Nonfinancial net operating surplus, net",Corporate profits,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,25.308140402947494,2001-12-01,13.21247023841052,316,2021-06-01,26.10358554393814,3,99.37106918238993,13.21247023841052,2001-12-01,26.10358554393814,2021-06-01,20.67222724874109,19.612864927796164,FALSE,FALSE,No,No,"Not near the low end of its own history (99th percentile from the bottom); 12.1 above the record low set in 2001Q4, at or above the 2017-19 average.",3rd-highest of 318 quarters since 1947Q1; 0.8 below the record high set in 2021Q2.
p_nf_pretax_gross,"Nonfinancial corporate profit margin, pretax, gross",Corporate profits,Nonfinancial corporate,Gross,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,19.637738471999008,2001-12-01,6.1730707446972435,309,1950-12-01,22.0415014273134,10,97.16981132075472,6.1730707446972435,2001-12-01,22.0415014273134,1950-12-01,13.07565765001177,13.726201516005998,FALSE,FALSE,No,No,"Not near the low end of its own history (97th percentile from the bottom); 13.5 above the record low set in 2001Q4, at or above the 2017-19 average.",In the top decile of its own history (97th percentile from the bottom); 2.4 below the record high set in 1950Q4.
p_nf_pretax_net,"Nonfinancial corporate profit margin, pretax, net",Corporate profits,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14,318,1947-03-01,2026-06-01,23.23664078018133,2001-12-01,7.23206894635812,317,1950-12-01,23.944168368067594,2,99.68553459119497,7.23206894635812,2001-12-01,23.944168368067594,1950-12-01,15.453568838769826,15.607392226320428,FALSE,FALSE,No,No,"Not near the low end of its own history (100th percentile from the bottom); 16.0 above the record low set in 2001Q4, at or above the 2017-19 average.",2nd-highest of 318 quarters since 1947Q1; 0.7 below the record high set in 1950Q4.
