year,nq,gdi,comp,prop,ucap,ni,rental,interest,bctp,cprof,ctax,cfc,A194RC,W151RC,W152RC,A439RC,A442RC,W321RC,A451RC,A2009C,ni_pretax,ni_exh,govnp,ni_bus,v1_tf,v2_labmax,v3_prop75,v4_pretax,v5_exhouse,cap_exhouse,cap_tf,v6_exh_labmax,v7_business,v7_labmax,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,govnp_share,prop_share,rental_share
1969,4,1016033,584437.25,77005,113251.5,774693.75,20347,33243.25,4798,91821.25,36958,124896.25,114591.75,4439.25,25038,534948.25,377453.75,52896,590652.25,73048.5,811651.75,754346.75,144069,630624.75,75.44106945486523,85.38112641285669,82.89611217335883,72.0059126343287,77.47594193253964,12.315887885776666,14.618873587143307,87.68411211422334,69.83047366916696,82.04138039301502,84.803106308383,70.55892789629651,78.30141857028984,57.5214830620659,18.5968971609749,9.940056957991464,2.6264572290663244
1970,4,1067965,623323.75,77801.75,113137.5,814263,20664,40235.75,4357,79143.75,31263,136837.25,126672.75,4501.25,27898.5,550323,398009.5,56965,612127,78783.75,845526,793599,159072.5,655190.5,76.55066606243929,86.10553347014417,83.71681661821795,73.72023450491173,78.5439182761067,11.65242143702298,13.894466529855833,88.34757856297702,70.8574452773659,82.73212142117445,86.13153139505945,72.3228903752887,80.6735676729677,58.365559732762776,19.535764243248188,9.554867407704881,2.5377550005342253
1971,4,1155331.75,664973.75,83904.25,128417.75,877295.75,21827.5,44448.5,4158,92791.75,34808,148925.75,139281.5,4555,31040.5,593300.25,421648.75,62805,660920,86448.5,912103.75,855468.25,174877,702418.75,75.79812737038792,85.36209140418154,82.97110039573313,72.9054945777824,77.73213675668266,12.459872122664985,14.637908595818457,87.54012787733501,69.7727317216404,81.71777874665219,85.06346491663847,71.06835872730544,79.48209715355604,57.55695279732423,19.933642674092518,9.56396403379362,2.4880435132622036
1972,4,1271952.5,731334.25,95095.25,145048.75,971478.25,22719.5,48983,4778.5,107677.75,39110,161008.25,152165.75,4637,34308.5,659461.25,468169.25,67290,732901.5,93930.75,1010588.25,948758.75,191111.25,780367,75.28055826262708,85.06927458231823,82.62209550239545,72.36718317277091,77.08326800675093,12.8936096768541,14.930725417681765,87.1063903231459,69.22678688360733,81.41275194876258,84.65052469324148,70.99268531699171,79.05977367188967,57.49697807111508,19.67221088068621,9.78871631969115,2.338652460824522
1973,4,1419230.75,812695,112520,159668.5,1084883.5,23116.25,57952.25,5740.5,118491.5,45632,178682.75,163087.75,4819.25,38191.25,738228.25,526063.5,74125,820208.5,101382.25,1130515.5,1061767.25,206098.25,878785.25,74.91080839555583,85.28242894283119,82.68952380601235,71.88711698335848,76.54172795403136,12.8608459151476,14.717571057168811,87.13915408485241,69.02673320927951,81.83077151101477,85.05868300264564,71.26027756320623,79.21411316689084,57.26306310654557,18.997270213806367,10.371620547275352,2.1307587404546204
1974,4,1537780.25,887736.25,112213.25,164554,1164503.5,23180.25,73586,6787,108235.75,47235,206893.25,175838.75,4588.25,42555.5,793538.25,577322,78624,889578.75,110435.75,1211738.5,1141323.25,222982.5,941521,76.23302549112132,85.86917085264236,83.46013451226209,73.26137198743788,77.78131655514773,12.38682818386465,14.13082914735765,87.61317181613535,70.60424037275855,82.52253534440548,86.46696748476158,72.75288872338542,80.75402049966132,57.72842055943949,19.148289378262923,9.636145361521026,1.990569371410219
1975,4,1671554,947274,118238.5,194536.75,1260049.25,22292.5,85244.5,9036,124227.75,46264,238511.25,193822,4634,47331.25,852029,607817,84498,965545.25,121260,1306313.25,1237756.75,245787.25,1014262,75.17753770338739,84.5611788586835,82.21526856985948,72.51507247591648,76.53151558252459,13.915840087319257,15.4388211413165,86.08415991268075,69.16228252660555,80.81987198573938,84.27073469325506,71.33759531659133,79.19119879197062,56.67026012919714,19.506162159931446,9.383641155296113,1.7691768793957856
1976,4,1852758.5,1048384,130974.75,214878,1394236.75,20309,87061.5,9135.5,157790,59418,260226.5,207081.75,5411,51645.5,962280.25,682785.75,91413,1087308.25,130888,1453654.75,1373927.75,264138.25,1130098.5,75.19411606386075,84.58812680127676,82.23962411692276,72.120563703314,76.30561359576586,14.16151613503694,15.411873198723244,85.83848386496305,69.39622962069235,80.98590521091745,84.14398682357523,70.95497907184523,78.40296554957142,56.58503253392172,18.945007008314764,9.394010737416009,1.4566392687612058
1977,4,2062379,1165887.25,144491.75,244061,1554440,15865.75,101947.75,8081,186670.5,68504,289829.25,222994.75,5931.25,56439.5,1092061.25,771695.75,100018,1232517.25,144197.25,1622944,1538574.25,285365.5,1269074.5,75.00368299837884,84.29910450065618,81.97524912508685,71.83779908610525,75.77711962877319,14.831604649564362,15.700895499343815,85.16839535043565,69.38298342611091,80.7685837198683,83.55852228262091,70.66414544056022,77.78851879693754,56.53118316274555,18.358090373382055,9.295421502277348,1.0206730398085484
1978,4,2328274.5,1316862.75,165974,280807.5,1763644.25,16546.25,116038.25,10375,215700,77852,327194.75,242802.5,6538,62960,1247614.25,884698.75,108702,1406890.25,160168.5,1841496.25,1747098,312300.5,1451343.75,74.66714163017853,84.0779964553509,81.72528274905781,71.51047687444381,75.374292111833455,15.125725631876403,15.922003544649098,84.8742743681236,69.21601102426631,80.65189587235966,83.37874781380228,70.91124119494467,77.67927248126448,56.559600253320646,17.707681126735167,9.410854825172366,0.938185237754156
