date,id,value
2015-09-01,p_nf_nos_net,22.419877931606898
2015-12-01,p_nf_nos_net,21.84560205767833
2016-03-01,p_nf_nos_net,22.000581944137167
2016-06-01,p_nf_nos_net,20.945410783575785
2016-09-01,p_nf_nos_net,20.91838675798804
2016-12-01,p_nf_nos_net,20.73072251452474
2017-03-01,p_nf_nos_net,20.903181788891114
2017-06-01,p_nf_nos_net,20.878303814295204
2017-09-01,p_nf_nos_net,20.345306690045042
2017-12-01,p_nf_nos_net,20.59708305028433
2018-03-01,p_nf_nos_net,20.624400245842306
2018-06-01,p_nf_nos_net,21.117057060589712
2018-09-01,p_nf_nos_net,21.109617962815477
2018-12-01,p_nf_nos_net,20.978922304741147
2019-03-01,p_nf_nos_net,20.07688089690604
2019-06-01,p_nf_nos_net,20.06642260763817
2019-09-01,p_nf_nos_net,20.743484025357752
2019-12-01,p_nf_nos_net,20.62606653748679
2020-03-01,p_nf_nos_net,18.923989533080743
2020-06-01,p_nf_nos_net,20.89168606339588
2020-09-01,p_nf_nos_net,25.506116174134746
2020-12-01,p_nf_nos_net,21.891471218530818
2021-03-01,p_nf_nos_net,24.185751999837102
2021-06-01,p_nf_nos_net,26.10358554393814
2021-09-01,p_nf_nos_net,25.00727105754824
2021-12-01,p_nf_nos_net,24.37900644362068
2022-03-01,p_nf_nos_net,23.37640103920719
2022-06-01,p_nf_nos_net,24.309034250213863
2022-09-01,p_nf_nos_net,24.17163558735787
2022-12-01,p_nf_nos_net,23.8554258197952
2023-03-01,p_nf_nos_net,23.813418803679742
2023-06-01,p_nf_nos_net,23.665009582469242
2023-09-01,p_nf_nos_net,23.941765091062212
2023-12-01,p_nf_nos_net,24.416806916685864
2024-03-01,p_nf_nos_net,23.41909936372262
2024-06-01,p_nf_nos_net,23.603203311998932
2024-09-01,p_nf_nos_net,23.540064255495118
2024-12-01,p_nf_nos_net,23.521718038688828
2025-03-01,p_nf_nos_net,23.11529141074164
2025-06-01,p_nf_nos_net,22.831160845964988
2025-09-01,p_nf_nos_net,22.919115534065025
2025-12-01,p_nf_nos_net,23.12695164359809
2026-03-01,p_nf_nos_net,23.824804122482274
2026-06-01,p_nf_nos_net,25.308140402947494
1947-03-01,p_nf_pretax_gross,16.303284718916345
1947-06-01,p_nf_pretax_gross,18.124813377127502
1947-09-01,p_nf_pretax_gross,17.750010109587933
1947-12-01,p_nf_pretax_gross,17.914794732765298
1948-03-01,p_nf_pretax_gross,19.537652982469037
1948-06-01,p_nf_pretax_gross,20.179033649698017
1948-09-01,p_nf_pretax_gross,19.27292772387084
1948-12-01,p_nf_pretax_gross,19.882124271114176
1949-03-01,p_nf_pretax_gross,19.09860362129924
1949-06-01,p_nf_pretax_gross,17.951528079143834
1949-09-01,p_nf_pretax_gross,18.788406390823432
1949-12-01,p_nf_pretax_gross,17.003245038110332
1950-03-01,p_nf_pretax_gross,18.519817356826934
1950-06-01,p_nf_pretax_gross,19.931326680187144
1950-09-01,p_nf_pretax_gross,21.09372091002743
1950-12-01,p_nf_pretax_gross,22.0415014273134
1951-03-01,p_nf_pretax_gross,20.70172418739421
1951-06-01,p_nf_pretax_gross,20.14746324736026
