year,nq,gdi,comp,wages,supp,topi_net,prop,rental,ucap,cprof,cprof_at,ctax,cfc,interest,bctp,gov_ent,ni,nos_priv,lab_net,cap_net,prop_net,capmax_net,labmax_net,lab_gross,cap_gross,cfc_gross
1983,4,3577185.75,2012661,1677686,334975,241977,186251,24436.25,509140.25,242846.75,176427.75,66419,562622.25,286595,21681.25,-1884,2708052.25,761810,74.3213503358364,18.800975867433873,6.877673796729734,25.678649664163608,81.19902413256612,56.26381017535922,14.23298328860893,15.728069195176683
1984,4,3996192.75,2216082.75,1845125.5,370957,268708,228248.75,24653.25,604147,300699,219222,81477,598396,331112.75,29159,-866.75,3048478.5,913873.25,72.6947147568861,19.81798461101169,7.487300632102211,27.3052852431139,80.1820153889883,55.45485137072029,15.118064562826705,14.97415258560789
1985,4,4284905.75,2387539.5,1982765,404774.5,286773,241051,26203,645922.5,314980,233370,81610,640138.25,352289.5,34060,1870.75,3274513,968584.25,72.91281176773462,19.72575769282333,7.361430539442049,27.08718823226538,80.27424230717666,55.71976699837563,15.074368905313728,14.939377604746616
1986,4,4499784.5,2543845.25,2104117,439728,298478,256478.75,18268.25,621275.5,284090.75,192219.75,91871,685294.75,374826.75,35960.75,2541,3421599.5,969625.5,74.34666886057238,18.157458229696374,7.495872909731253,25.653331139427628,81.84254177030363,56.532601727927194,13.806783413739035,15.229501546129598
1987,4,4811610.75,2723760.75,2257622.5,466138.25,317263,286467.75,16596,638285.25,322802.75,210100.5,112702,730383,378296.5,33292.25,2748.5,3648513.75,1037456,74.653980679119,17.49439069538932,7.851628625491681,25.346019320881002,82.50560930461067,56.60808597204169,13.265521322563343,15.179594484030114
1988,4,5233613.75,2948853,2440649,508204,344962.5,325524,22490.75,699954,359258.5,234992.5,124266,784496.75,409714.75,32756,5557,3974331,1149744.25,74.19746870605393,17.61186977128981,8.190661522656265,25.802531293946075,82.3881302287102,56.344490458433235,13.374200570303836,14.9895805742256
1989,4,5573751.5,3140886.5,2584336,556550.5,371438.25,341129.25,21522.75,750358.75,351587,227165,124422,838258,463404.25,38266.75,7259,4232374.5,1215909.75,74.21097778563782,17.729025396972787,8.059996817389388,25.789022214362173,82.27097460302721,56.35139097966603,13.462364621027687,15.039385950378305
1990,4,5867788.5,3342679.75,2743505.5,599174.25,397996.75,353153.25,28166,759882.5,343242.5,221426.75,121816,888532.5,471109.75,39180,3728.25,4455715.5,1234851.5,75.0200444799494,17.054107247197447,7.925848272853147,24.979955520050595,82.94589275280255,56.966602494278725,12.950066281359664,15.142544759409784
1991,4,6065416.5,3453265.25,2817229,636036.75,429602.75,354162.25,38577.5,769963.25,372270.5,254457.75,117813,932392.75,438038.75,38889.25,8217.75,4577390.75,1241938,75.44178416491972,16.821007688714364,7.737208146365918,24.55821583508028,83.17899231128564,56.93368707655937,12.694317859292928,15.372279051240751
1992,4,6404816,3671212.25,2968505.75,702706.5,453286.5,400155,60572.5,777559.25,408199.5,276285.75,131914.25,960244.5,400981,39720,10443.75,4848926.5,1309628.5,75.7118560159656,16.035698829421317,8.252445154613088,24.288143984034406,83.96430117057868,57.31955843852501,12.140227759860705,14.992538427333432
1993,4,6703133.25,3820609.25,3082660.5,737948.75,466445.75,427984,90079.5,818117.5,453786.75,298739.75,155047,1003499.5,389910.25,39388,11430.25,5066710.75,1401148.5,75.40610543043137,16.1469154322654,8.446979137303229,24.59389456956863,83.8530845677346,56.99736388203233,12.205001295476261,14.970603486063775
1994,4,7147986.75,4010206.5,3240604.5,769601.75,512724.5,456644.5,113665.5,927476.25,556125.25,383454,172671.25,1055608,389642,40714.75,12655.75,5394327.25,1556791.75,74.3411794306695,17.19354809258189,8.465272476748607,25.658820569330494,82.80645190741811,56.102601197463045,12.975349317764195,14.767906501785275
