year,nq,w_corp,w_govnp,w_oth,l_corp,l_oth,conv_pct,oo_hous_gdi
1966,4,56.844861242478515,17.00456823167173,26.15057052584975,81.71635846634554,33.906551089385644,31.146928015133525,5.6088273517511755
1967,4,56.82311246070735,17.75558327228852,25.421304267004132,82.53212182678632,33.83991697670802,31.413440604946206,5.641979625179417
1968,4,56.99325675802901,18.29435561912915,24.712387622841835,83.56072017877354,33.92131314704924,31.443484968488722,5.5341084512672225
1969,4,57.45421981266791,18.5968971609749,23.94888302635719,84.803106308383,33.91059690994203,31.16341134803269,5.573342598124274
1970,4,56.75009180080637,19.535764243248188,23.71414395594544,86.13153139505945,34.30517541838106,31.628386651487297,5.739888479491369
1971,4,56.50172704016861,19.933642674092518,23.564630285738875,85.06346491663847,33.109613193925455,31.98565022114834,5.8289750974124965
1972,4,56.929864358774886,19.67221088068621,23.3979247605389,84.65052469324148,31.699044128888072,31.799579661201886,5.795499438854831
1973,4,57.008079669383854,18.997270213806367,23.994650116809776,85.05868300264564,30.936964588919537,31.49964950153634,5.705890321218026
1974,4,57.33595905894658,19.148289378262923,23.515751562790495,86.46696748476158,31.927837884471597,30.77500411119417,5.831587445605443
1975,4,57.24117529533072,19.506162159931446,23.252662544737834,84.27073469325506,31.969743510981417,30.658980194623346,5.909351417902144
1976,4,58.20024827203844,18.945007008314764,22.85474471964679,84.14398682357523,31.840652378751873,29.79565701449198,5.8652949102648835
1977,4,59.41298795707779,18.358090373382055,22.228921669540156,83.55852228262091,31.494905367831503,28.67418491546795,5.883302729517707
1978,4,60.162941023962176,17.707681126735167,22.12937784930266,83.37874781380228,30.711905576331052,28.05672118966169,5.932419051104155
1979,4,60.508129681819426,17.33206455553681,22.159805762643767,84.7446262215961,30.720998260094305,27.313964562198912,6.07478693896218
1980,4,60.583608543360796,17.669908583090898,21.746482873548302,85.6766343183977,31.448626444882084,26.64504865700725,6.3414464205904135
1981,4,61.25935107238658,17.344488245134965,21.396160682478456,83.28486968720904,30.70626014969658,25.849103550008635,6.341862667176132
1982,4,60.74548887426486,17.941982870076707,21.312528255658435,83.15330618212504,30.69385327410271,25.667581246314075,6.549231299020626
1983,4,60.660655642814866,17.924229490032918,21.415114867152212,82.3620974269996,30.052290568298897,25.704258475810427,6.59461142044413
1984,4,60.83402753209511,17.19686558392982,21.969106883975073,80.9416330358562,28.48451637130846,25.492872920048477,6.442131701480115
1985,4,60.58828442580622,17.29003671691027,22.12167885728351,81.44932795775141,28.36143045629884,25.451677852553953,6.548650457480891
1986,4,59.77929328081793,17.69280712134778,22.52789959783429,84.2547672640373,27.907427792289845,25.722589683567584,6.783463741430284
1987,4,59.68927073387074,17.86786468873798,22.442864577391273,84.84086655106682,27.381626977972257,26.1743634651233,6.84067180621375
1988,4,59.54203990558411,17.849834349479195,22.608125744936697,84.61420950894667,26.39143125917653,26.606396145665773,6.8303999315960215
