year,nq,ni,comp,ni_corp,lab_corp,ni_govnp,lab_govnp,ni_oth,lab_oth,L,w_corp,l_corp,w_gov,l_gov,w_oth,l_oth
1959,4,392654,285910.25,211457,180289,61707,61707,119490,43914.25,72.81480641990149,0.5385326521568607,85.26036026237013,0.1571536263478788,100,0.3043137214952605,36.75140179094485
1960,4,410033.75,301437,221663,190689,66419.5,66419.5,121951.25,44328.5,73.5151679587351,0.5405969630548705,86.02653577728353,0.16198544631996756,100,0.29741759062516193,36.34936091265977
1961,4,425025,310565,228062.5,195554,70712.75,70712.75,126249.75,44298.25,73.06981942238691,0.5365860831715782,85.74579336804604,0.16637315452032234,100,0.2970407623080995,35.08779225305397
1962,4,458051,332297,250584.5,210997,75667.75,75667.75,131798.75,45632.25,72.5458518811224,0.5470668113376022,84.20193587392676,0.16519503286751913,100,0.2877381557948787,34.62267282504576
1963,4,483438.25,350471,266285.75,222667,80685.5,80685.5,136467,47118.5,72.49550485506681,0.5508164693215731,83.61957032999325,0.1668992885854605,100,0.2822842420929664,34.527394901331455
1964,4,520141.25,376029.25,289409.25,239180,87059.25,87059.25,143672.75,49790,72.29367984177375,0.5564051111116451,82.64421403255079,0.16737616945397044,100,0.2762187194343844,34.65514511276495
1965,4,565284.75,405409.5,319053.5,259864,93908.5,93908.5,152322.75,51637,71.71774932898862,0.5644120065153004,81.44840912260797,0.16612600994454566,100,0.2694619835401539,33.89972935756477
1966,4,621137.5,449224.5,353084.75,288528,105621.75,105621.75,162431,55074.75,72.32287536978528,0.5684486124247852,81.71635846634554,0.17004568231671732,100,0.26150570525849753,33.906551089385644
1967,4,657645.25,481761,373694.5,308418,116768.75,116768.75,167182,56574.25,73.25545193248183,0.5682311246070735,82.53212182678632,0.17755583272288517,100,0.25421304267004136,33.83991697670802
1968,4,714307.75,530738.5,407107.25,340181.75,130678,130678,176522.5,59878.75,74.30109781113252,0.5699325675802901,83.56072017877354,0.1829435561912915,100,0.24712387622841836,33.92131314704924
1969,4,774693.75,584437.25,445094.25,377453.75,144069,144069,185530.5,62914.5,75.44106945486523,0.5745421981266791,84.803106308383,0.185968971609749,100,0.2394888302635719,33.91059690994203
1970,4,814263,623323.75,462095,398009.5,159072.5,159072.5,193095.5,66241.75,76.55066606243929,0.5675009180080637,86.13153139505945,0.19535764243248188,100,0.23714143955945438,34.30517541838106
1971,4,877295.75,664973.75,495687.25,421648.75,174877,174877,206731.5,68448,75.79812737038792,0.5650172704016861,85.06346491663847,0.19933642674092517,100,0.23564630285738875,33.109613193925455
1972,4,971478.25,731334.25,553061.25,468169.25,191111.25,191111.25,227305.75,72053.75,75.28055826262708,0.5692986435877488,84.65052469324148,0.1967221088068621,100,0.233979247605389,31.699044128888072
1973,4,1084883.5,812695,618471.25,526063.5,206098.25,206098.25,260314,80533.25,74.91080839555583,0.5700807966938386,85.05868300264564,0.18997270213806366,100,0.23994650116809776,30.936964588919537
1974,4,1164503.5,887736.25,667679.25,577322,222982.5,222982.5,273841.75,87431.75,76.23302549112132,0.5733595905894658,86.46696748476158,0.19148289378262925,100,0.23515751562790493,31.927837884471597
1975,4,1260049.25,947274,721267,607817,245787.25,245787.25,292995,93669.75,75.17753770338739,0.5724117529533072,84.27073469325506,0.19506162159931448,100,0.23252662544737834,31.969743510981417
1976,4,1394236.75,1048384,811449.25,682785.75,264138.25,264138.25,318649.25,101460,75.19411606386075,0.5820024827203845,84.14398682357523,0.18945007008314765,100,0.22854744719646788,31.840652378751873
1977,4,1554440,1165887.25,923539.25,771695.75,285365.5,285365.5,345535.25,108826,75.00368299837884,0.5941298795707779,83.55852228262091,0.18358090373382055,100,0.22228921669540155,31.494905367831503
1978,4,1763644.25,1316862.75,1061060.25,884698.75,312300.5,312300.5,390283.5,119863.5,74.66714163017853,0.6016294102396217,83.37874781380228,0.17707681126735167,100,0.2212937784930266,30.711905576331052
1979,4,1958840.5,1477302,1185257.75,1004442.25,339507.5,339507.5,434075.25,133352.25,75.4171664308554,0.6050812968181942,84.7446262215961,0.17332064555536808,100,0.2215980576264377,30.720998260094305
1980,4,2123075.5,1622345.5,1286235.75,1102003.5,375145.5,375145.5,461694.25,145196.5,76.41487549547814,0.605836085433608,85.6766343183977,0.176699085830909,100,0.21746482873548303,31.448626444882084
1981,4,2392339.25,1792680.75,1465531.5,1220566,414939,414939,511868.75,157175.75,74.93421971821095,0.6125935107238658,83.28486968720904,0.17344488245134965,100,0.21396160682478457,30.70626014969658
1982,4,2524383.75,1893174.25,1533449.25,1275113.75,452924.5,452924.5,538010,165136,74.99550137731634,0.6074548887426485,83.15330618212504,0.17941982870076706,100,0.21312528255658436,30.69385327410271
1983,4,2708052.25,2012661,1642722.25,1352980.5,485397.5,485397.5,579932.5,174283,74.3213503358364,0.6066065564281486,82.3620974269996,0.1792422949003292,100,0.21415114867152213,30.052290568298897
1984,4,3048478.5,2216082.75,1854512.25,1501072.5,524242.75,524242.75,669723.5,190767.5,72.6947147568861,0.6083402753209511,80.9416330358562,0.17196865583929818,100,0.2196910688397507,28.48451637130846
1985,4,3274513,2387539.5,1983971.25,1615931.25,566164.5,566164.5,724377.25,205443.75,72.91281176773462,0.6058828442580622,81.44932795775141,0.1729003671691027,100,0.2212167885728351,28.36143045629884
1986,4,3421599.5,2543845.25,2045408,1723353.75,605377,605377,770814.5,215114.5,74.34666886057238,0.5977929328081794,84.2547672640373,0.17692807121347778,100,0.2252789959783429,27.907427792289845
1987,4,3648513.75,2723760.75,2177771.25,1847640,651911.5,651911.5,818831,224209.25,74.653980679119,0.5968927073387075,84.84086655106682,0.17867864688737983,100,0.22442864577391272,27.381626977972257
1988,4,3974331,2948853,2366397.75,2002308.75,709411.5,709411.5,898521.75,237132.75,74.19746870605393,0.5954203990558411,84.61420950894667,0.17849834349479196,100,0.22608125744936694,26.39143125917653
1989,4,4232374.5,3140886.5,2501028.5,2119331,768579.5,768579.5,962766.5,252976,74.21097778563782,0.5909279767185064,84.7383786310312,0.1815953432287242,100,0.22747668005276944,26.275945413555622
1990,4,4455715.5,3342679.75,2606358,2234925.25,836211,836211,1013146.5,271543.5,75.0200444799494,0.5849471313866427,85.74897423914904,0.1876715423145845,100,0.2273813262987729,26.80199753934895
1991,4,4577390.75,3453265.25,2649316.25,2277820.75,896082,896082,1031992.5,279362.5,75.44178416491972,0.5787830654396284,85.97768386465754,0.19576261869275635,100,0.2254543158676152,27.070206421073795
1992,4,4848926.5,3671212.25,2790204.25,2420482.5,955224.25,955224.25,1103498,295505.5,75.7118560159656,0.5754272105382501,86.7492944288935,0.19699705697745676,100,0.22757573248429316,26.778979209749362
1993,4,5066710.75,3820609.25,2902869.75,2515738.75,995524.25,995524.25,1168316.75,309346.25,75.40610543043137,0.5729298342124622,86.66385221038594,0.19648333980778357,100,0.23058682597975422,26.477943588500292
1994,4,5394327.25,4010206.5,3113717,2649014,1035564.5,1035564.5,1245045.75,325628,74.3411794306695,0.5772206348808371,85.0756186255848,0.19197287298430032,100,0.2308064921348626,26.153898360763048
1995,4,5691165,4202176.5,3304598.75,2787889,1072922.75,1072922.75,1313643.5,341364.75,73.83684184169674,0.580654180646669,84.36391861493018,0.18852427402825256,100,0.23082154532507843,25.986102774458978
